sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-SBK-025,micro-precision-driver-kit-51pc,Screwdriver and Bit Kits,Micro Precision Driver Kit 51pc,Compact precision bit kit for electronics and home fixes,Includes common precision bits extension shaft and magnetic handle for repair and assembly tasks,24.99,31.99,84,true,false,
MT-SBK-026,stubby-ratchet-driver-12in1,Screwdriver and Bit Kits,Stubby Ratchet Driver 12in1,Short handle ratchet driver for tight spaces,Fast switch ratchet core with mixed bits for furniture bike and appliance maintenance jobs,19.99,26.99,96,true,false,
MT-SBK-027,insulated-driver-set-vde-7pc,Screwdriver and Bit Kits,Insulated Driver Set VDE 7pc,Electrical safe insulated driver set,Rated insulated shafts and anti slip grip for breaker panel outlet and terminal work,29.99,38.99,60,true,false,
MT-SBK-028,quick-load-bit-holder-3pc,Screwdriver and Bit Kits,Quick Load Bit Holder 3pc,Magnetic quick change holders for impact tools,Three length holders improve access and reduce wobble during screw driving in wood and metal,13.99,18.99,130,true,false,
MT-PLC-025,long-nose-pliers-8in-comfort,Pliers and Cutters,Long Nose Pliers 8in Comfort,Reach and grip pliers with comfort handles,Thin jaws hold and bend wire in narrow channels while serrated section keeps parts stable,16.99,22.99,88,true,false,
MT-PLC-026,diagonal-cutter-6in-high-leverage,Pliers and Cutters,Diagonal Cutter 6in High Leverage,Flush style cutter for wire and zip ties,High leverage joint reduces hand strain and gives cleaner cuts for daily workshop use,14.99,19.99,104,true,false,
MT-PLC-027,water-pump-pliers-10in-multi-jaw,Pliers and Cutters,Water Pump Pliers 10in Multi Jaw,Adjustable groove joint pliers for pipe nuts and fittings,Wide jaw range and stable lock teeth improve grip on plumbing and mechanical fasteners,21.99,28.99,72,true,false,
MT-PLC-028,locking-pliers-curved-jaw-7in,Pliers and Cutters,Locking Pliers Curved Jaw 7in,Curved jaw locking pliers with quick release,Secure clamp pressure with adjustment screw for holding welding and stubborn bolt tasks,18.99,24.99,76,true,false,
MT-MEA-025,laser-distance-meter-40m,Measuring and Layout,Laser Distance Meter 40m,Fast one button distance and area measurement,Backlit display stores recent reads and supports quick room planning trim and install jobs,27.99,35.99,58,true,false,
MT-MEA-026,magnetic-torpedo-level-9in,Measuring and Layout,Magnetic Torpedo Level 9in,Compact level for conduit shelf and frame alignment,Strong magnetic base and clear vials speed checks on steel studs and metal surfaces,12.99,17.99,122,true,false,
MT-MEA-027,folding-hex-key-set-metric-imperial,Measuring and Layout,Folding Hex Key Set Metric Imperial,Dual standard folding hex key tool,Durable fold out keys cover common bike furniture and machine fasteners in one pocket unit,15.99,21.99,110,true,false,
MT-MEA-028,stainless-feeler-gauge-32-blade,Measuring and Layout,Stainless Feeler Gauge 32 Blade,Precision gap gauge for tune and setup work,Labeled blades with locking screw help measure valve plug and mechanical clearances accurately,11.99,16.99,118,true,false,
MT-FST-025,multi-size-wall-anchor-kit-220pc,Fasteners and Anchors,Multi Size Wall Anchor Kit 220pc,Assorted anchors and screws for drywall installs,Organized box includes mixed sizes for shelves hooks and light fixtures in common wall types,18.99,25.99,92,true,false,
MT-FST-026,stainless-screw-assortment-500pc,Fasteners and Anchors,Stainless Screw Assortment 500pc,Corrosion resistant screw assortment for indoor and outdoor use,Pan head and flat head options in multiple lengths keep repair and install jobs moving,22.99,30.99,74,true,false,
MT-FST-027,nylon-cable-zip-tie-pack-1000pc,Fasteners and Anchors,Nylon Cable Zip Tie Pack 1000pc,Large zip tie pack for cable and storage management,Mixed lengths handle electronics garage and warehouse bundling with strong locking heads,17.99,23.99,140,true,false,
MT-FST-028,heavy-duty-hose-clamp-set-60pc,Fasteners and Anchors,Heavy Duty Hose Clamp Set 60pc,Stainless clamp assortment for fluid and air lines,Wide size range and slotted screws provide secure hose sealing for shop and vehicle maintenance,20.99,27.99,86,true,false,
MT-UTL-025,retractable-utility-knife-pro-2pack,Utility Knives and Blades,Retractable Utility Knife Pro 2pack,Durable utility knives with spare blade storage,Quick blade change and positive lock slider support box cutting flooring and trim work,16.99,22.99,98,true,false,
MT-UTL-026,safety-box-cutter-6pack-auto-retract,Utility Knives and Blades,Safety Box Cutter 6pack Auto Retract,Auto retract cutter set for safer warehouse use,Lightweight handles and guarded blades reduce injury risk during shipping and receiving tasks,14.99,19.99,132,true,false,
MT-UTL-027,scraper-tool-with-razor-blades-20pc,Utility Knives and Blades,Scraper Tool with Razor Blades 20pc,Heavy scraper for paint sticker and residue removal,Metal body scraper plus refill blades handles glass tile and surface prep cleanup work,12.99,17.99,126,true,false,
MT-UTL-028,deburring-tool-set-11pc,Utility Knives and Blades,Deburring Tool Set 11pc,Deburring handle with replacement blades for clean edges,Smooths drilled holes and cut pipe edges on plastic metal and 3d printed parts,15.99,20.99,90,true,false,
MT-DRL-025,cobalt-drill-bit-set-19pc,Drilling and Hole Prep,Cobalt Drill Bit Set 19pc,Heat resistant drill bits for hard metals,Split point tips improve centering and reduce walking for cleaner holes in steel and alloy materials,34.99,44.99,54,true,false,
MT-DRL-026,masonry-drill-bit-set-10pc,Drilling and Hole Prep,Masonry Drill Bit Set 10pc,Carbide tips for brick block and concrete drilling,Common diameters cover anchor installs and mounting jobs for indoor and outdoor projects,21.99,28.99,80,true,false,
MT-DRL-027,step-drill-bit-hss-3pc,Drilling and Hole Prep,Step Drill Bit HSS 3pc,Step bits for clean holes in sheet metal and plastic,Progressive sizing reduces chatter and delivers smooth edges for panel and enclosure work,26.99,34.99,68,true,false,
MT-DRL-028,countersink-bit-set-7pc,Drilling and Hole Prep,Countersink Bit Set 7pc,Countersink and chamfer set for flush screw finishing,Adjustable depth and clean cut profile improve woodworking assembly and finishing quality,18.99,24.99,94,true,false,
