"sku","name_en"
"MT-MEA-028","Stainless Feeler Gauge 32 Blade"
"MT-FST-025","Multi Size Wall Anchor Kit 220pc"
"MT-FST-026","Stainless Screw Assortment 500pc"
"MT-FST-027","Nylon Cable Zip Tie Pack 1000pc"
"MT-FST-028","Heavy Duty Hose Clamp Set 60pc"
"MT-UTL-028","Deburring Tool Set 11pc"
"MT-DRL-027","Step Drill Bit HSS 3pc"
"MT-MEA-029","Digital Caliper 150mm Stainless"
"MT-DRL-030","Tap and Drill Set M3-M10 16pc"
"MT-FST-029","Rivet Nut Assortment Kit M3-M8 300pc"
"MT-FST-030","Thread Repair Insert Kit M6 90pc"
"MT-FST-031","Split Lock Washer Assortment 900pc"
"MT-FST-032","Heat Shrink Tubing Kit 530pc Adhesive"
