sku,image_slot,source,license,creator,image_url,notes
MT-SCR-001,primary,Wikimedia Commons,CC BY-SA 4.0,Dnyaneshwari Dalvi,https://upload.wikimedia.org/wikipedia/commons/6/6e/Screwdriver_set.jpg,Commercial reuse allowed with attribution where required.
MT-SCR-001,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-scr-001-mix/1600/1200,Fallback image for mixed-mode launch.
MT-SCR-002,primary,Wikimedia Commons,CC BY-SA 2.0,James Bastow,https://upload.wikimedia.org/wikipedia/commons/7/7a/Electronics_workbench.jpg,Commercial reuse allowed with attribution where required.
MT-SCR-002,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-scr-002-mix/1600/1200,Fallback image for mixed-mode launch.
MT-SCR-003,primary,Wikimedia Commons,CC BY-SA 4.0,Dnyaneshwari Dalvi,https://upload.wikimedia.org/wikipedia/commons/6/6e/Screwdriver_set.jpg,Commercial reuse allowed with attribution where required.
MT-SCR-003,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-scr-003-mix/1600/1200,Fallback image for mixed-mode launch.
MT-SCR-004,primary,Wikimedia Commons,CC BY-SA 2.0,James Bastow,https://upload.wikimedia.org/wikipedia/commons/7/7a/Electronics_workbench.jpg,Commercial reuse allowed with attribution where required.
MT-SCR-004,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-scr-004-mix/1600/1200,Fallback image for mixed-mode launch.
MT-PLC-001,primary,Wikimedia Commons,CC BY-SA 4.0,Petar43,https://upload.wikimedia.org/wikipedia/commons/1/17/Pinza15.JPG,Commercial reuse allowed with attribution where required.
MT-PLC-001,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-plc-001-mix/1600/1200,Fallback image for mixed-mode launch.
MT-PLC-002,primary,Wikimedia Commons,Public domain,Alex Myasnikov,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ostrogubetz.jpg,Commercial reuse allowed with attribution where required.
MT-PLC-002,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-plc-002-mix/1600/1200,Fallback image for mixed-mode launch.
MT-PLC-003,primary,Wikimedia Commons,CC BY-SA 3.0,Jeff Dahl,https://upload.wikimedia.org/wikipedia/commons/a/a7/SOG_tool.jpg,Commercial reuse allowed with attribution where required.
MT-PLC-003,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-plc-003-mix/1600/1200,Fallback image for mixed-mode launch.
MT-PLC-004,primary,Wikimedia Commons,CC BY-SA 4.0,12akd,https://upload.wikimedia.org/wikipedia/commons/1/1c/Tools73.jpg,Commercial reuse allowed with attribution where required.
MT-PLC-004,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-plc-004-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MTR-001,primary,Wikimedia Commons,Public domain,Jpogi,https://upload.wikimedia.org/wikipedia/commons/e/ea/Tape_measure.JPG,Commercial reuse allowed with attribution where required.
MT-MTR-001,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mtr-001-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MTR-002,primary,Wikimedia Commons,CC BY-SA 3.0,ArtMechanic,https://upload.wikimedia.org/wikipedia/commons/9/94/Messschieber.jpg,Commercial reuse allowed with attribution where required.
MT-MTR-002,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mtr-002-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MTR-003,primary,Wikimedia Commons,CC BY-SA 4.0,Dmitry Makeev,https://upload.wikimedia.org/wikipedia/commons/1/10/Waterpass.jpg,Commercial reuse allowed with attribution where required.
MT-MTR-003,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mtr-003-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MTR-004,primary,Wikimedia Commons,CC0,Goele,https://upload.wikimedia.org/wikipedia/commons/d/da/Ruler_image.jpg,Commercial reuse allowed with attribution where required.
MT-MTR-004,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mtr-004-mix/1600/1200,Fallback image for mixed-mode launch.
MT-DRB-001,primary,Wikimedia Commons,CC BY-SA 3.0,Emrys2,https://upload.wikimedia.org/wikipedia/commons/a/ab/Drill_set_1.jpg,Commercial reuse allowed with attribution where required.
MT-DRB-001,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-drb-001-mix/1600/1200,Fallback image for mixed-mode launch.
MT-DRB-002,primary,Wikimedia Commons,CC BY-SA 3.0,Sevela.p,https://upload.wikimedia.org/wikipedia/commons/a/a1/Drill_bits.jpg,Commercial reuse allowed with attribution where required.
MT-DRB-002,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-drb-002-mix/1600/1200,Fallback image for mixed-mode launch.
MT-DRB-003,primary,Wikimedia Commons,CC BY-SA 3.0,Rohan von Indien,https://upload.wikimedia.org/wikipedia/commons/0/0f/Annular_Cutter.jpg,Commercial reuse allowed with attribution where required.
MT-DRB-003,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-drb-003-mix/1600/1200,Fallback image for mixed-mode launch.
MT-DRB-004,primary,Wikimedia Commons,CC BY-SA 2.5,Horst,https://upload.wikimedia.org/wikipedia/commons/6/6f/Unibits.JPG,Commercial reuse allowed with attribution where required.
MT-DRB-004,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-drb-004-mix/1600/1200,Fallback image for mixed-mode launch.
MT-FST-001,primary,Wikimedia Commons,CC BY-SA 3.0,Hautala,https://upload.wikimedia.org/wikipedia/commons/b/b0/Ruuvit.jpg,Commercial reuse allowed with attribution where required.
MT-FST-001,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-fst-001-mix/1600/1200,Fallback image for mixed-mode launch.
MT-FST-002,primary,Wikimedia Commons,Public domain,Brianiac,https://upload.wikimedia.org/wikipedia/commons/4/4c/Screws.jpg,Commercial reuse allowed with attribution where required.
MT-FST-002,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-fst-002-mix/1600/1200,Fallback image for mixed-mode launch.
MT-FST-003,primary,Wikimedia Commons,CC BY-SA 3.0,Hautala,https://upload.wikimedia.org/wikipedia/commons/b/b0/Ruuvit.jpg,Commercial reuse allowed with attribution where required.
MT-FST-003,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-fst-003-mix/1600/1200,Fallback image for mixed-mode launch.
MT-FST-004,primary,Wikimedia Commons,Public domain,Brianiac,https://upload.wikimedia.org/wikipedia/commons/4/4c/Screws.jpg,Commercial reuse allowed with attribution where required.
MT-FST-004,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-fst-004-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MUT-001,primary,Wikimedia Commons,CC BY-SA 3.0,BlueH2O,https://upload.wikimedia.org/wikipedia/commons/f/f7/BoxCutter.jpg,Commercial reuse allowed with attribution where required.
MT-MUT-001,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mut-001-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MUT-002,primary,Wikimedia Commons,CC BY-SA 4.0,Dan1gia2,https://upload.wikimedia.org/wikipedia/commons/3/38/HexKey3.JPG,Commercial reuse allowed with attribution where required.
MT-MUT-002,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mut-002-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MUT-003,primary,Wikimedia Commons,CC BY-SA 4.0,12akd,https://upload.wikimedia.org/wikipedia/commons/1/1c/Tools73.jpg,Commercial reuse allowed with attribution where required.
MT-MUT-003,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mut-003-mix/1600/1200,Fallback image for mixed-mode launch.
MT-MUT-004,primary,Wikimedia Commons,CC BY-SA 3.0,Jeff Dahl,https://upload.wikimedia.org/wikipedia/commons/a/a7/SOG_tool.jpg,Commercial reuse allowed with attribution where required.
MT-MUT-004,secondary,Generated placeholder,N/A,N/A,https://picsum.photos/seed/mt-mut-004-mix/1600/1200,Fallback image for mixed-mode launch.
