rank,cluster,keyword_primary,keyword_secondary,target_sku,price_target_usd,margin_band,image_readiness,logistics_fit,score,launch_decision,notes
1,Precision Screwdrivers,precision screwdriver set,micro screwdriver electronics,MT-SCR-001,19.99,mid,ready,high,94,launch,"High intent and strong keyword coverage in US listings."
2,Precision Screwdrivers,ratchet precision driver,24 in 1 screwdriver kit,MT-SCR-002,24.99,mid,ready,high,93,launch,"Popular bundle format with manageable COGS."
3,Utility Tools,retractable utility knife,box cutter 2 pack,MT-MUT-001,13.99,high,ready,high,92,launch,"Strong conversion for low-ticket checkout adds."
4,Pliers & Cutters,needle nose pliers,long nose plier 6 inch,MT-PLC-001,16.99,mid,ready,high,91,launch,"Fits household repair use cases with broad demand."
5,Fastener Kits,wall anchor assortment,drywall anchor screw kit,MT-FST-001,18.99,high,ready,high,90,launch,"High repeat demand and easy bundle upsell."
6,Drill Bits,impact driver bit set,32 piece impact bits,MT-DRB-002,23.99,mid,ready,high,89,launch,"Strong accessory attach for cordless drill users."
7,Measuring Tools,steel tape measure 5m,compact lock tape,MT-MTR-001,12.99,high,ready,high,88,launch,"Entry-level hero SKU for paid traffic tests."
8,Fastener Kits,stainless screw kit,screw assortment box,MT-FST-002,24.99,mid,ready,high,87,launch,"Strong search footprint and clear use cases."
9,Utility Tools,folding pocket multitool,11 in 1 multitool,MT-MUT-002,32.99,mid,ready,high,86,launch,"Higher AOV SKU for profitability lift."
10,Drill Bits,titanium drill bit set,13pc hss drill bits,MT-DRB-001,27.99,mid,ready,high,85,launch,"Consistent demand across DIY and installer segments."
11,Pliers & Cutters,diagonal wire cutter,wire cutter 7 inch,MT-PLC-002,18.99,mid,ready,high,84,launch,"Good utility SKU with stable review-driven demand."
12,Measuring Tools,laser distance meter,40m laser measure,MT-MTR-003,34.99,mid,ready,high,83,launch,"Premium measurement SKU for intent traffic."
13,Fastener Kits,hex bolt nut washer kit,hardware assortment kit,MT-FST-003,29.99,mid,ready,high,82,launch,"Useful for project buyers and repeat orders."
14,Utility Tools,mini claw hammer,fiberglass claw hammer,MT-MUT-004,17.99,mid,ready,high,81,launch,"Classic hardware staple with wide keyword reach."
15,Drill Bits,masonry drill bit set,carbide masonry bits,MT-DRB-003,21.99,mid,ready,high,80,launch,"Useful for concrete/brick installs."
16,Measuring Tools,digital angle gauge,magnetic angle finder,MT-MTR-002,29.99,mid,ready,high,79,launch,"Niche keyword cluster with quality traffic."
17,Fastener Kits,cable clip and tie kit,zip tie cable management,MT-FST-004,15.99,high,ready,high,78,launch,"Low-cost add-on that improves cart size."
18,Pliers & Cutters,slip joint pliers,adjustable jaw pliers,MT-PLC-003,17.99,mid,ready,high,77,launch,"General maintenance tool with broad intent."
19,Drill Bits,countersink bit kit,woodworking countersink set,MT-DRB-004,19.99,mid,ready,high,76,launch,"Good match for furniture and trim projects."
20,Precision Screwdrivers,stubby multi bit driver,compact tight-space driver,MT-SCR-004,14.99,high,ready,high,75,launch,"Practical add-on for compact toolkit offers."
21,Utility Tools,magnetic pickup tool led,telescopic magnet retriever,MT-MUT-003,11.99,high,ready,high,74,launch,"Strong low-price item for impulse add-to-cart."
22,Precision Screwdrivers,electric precision screwdriver,rechargeable precision driver,MT-SCR-003,39.99,mid,ready,high,73,launch,"Higher AOV test item for electronics DIY traffic."
23,Pliers & Cutters,locking plier mini,mini vice grip plier,MT-PLC-004,21.99,mid,ready,high,72,launch,"Useful niche SKU for repair-focused shoppers."
24,Measuring Tools,aluminum combo square,12 inch combo square,MT-MTR-004,22.99,mid,ready,high,71,launch,"Completes measurement cluster and internal linking."
