sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-SCR-001,precision-6pc-micro-screwdriver-set,Hardware Tools,Precision 6pc Micro Screwdriver Set,Compact driver set for daily repair jobs.,"Magnetic tips with anti-slip grip. Built for eyeglasses, toys, laptops, and small household repairs.",19.99,24.99,80,true,true,/catalog/hardware/MT-SCR-001-1.jpg|/catalog/hardware/MT-SCR-001-2.jpg
MT-SCR-002,ratchet-precision-driver-kit-24in1,Hardware Tools,Ratchet Precision Driver Kit 24-in-1,Pocket ratchet kit for quick screw changes.,Includes extension rod and 24 steel bits. Ideal for desk repairs and electronics maintenance.,24.99,29.99,60,true,true,/catalog/hardware/MT-SCR-002-1.jpg|/catalog/hardware/MT-SCR-002-2.jpg
MT-SCR-003,electric-precision-screwdriver-30bit,Hardware Tools,Electric Precision Screwdriver 30-Bit,Rechargeable precision driver with steady torque.,"USB-C charging, dual torque levels, and magnetic storage case for daily workflow use.",39.99,49.99,40,true,false,/catalog/hardware/MT-SCR-003-1.jpg|/catalog/hardware/MT-SCR-003-2.jpg
MT-SCR-004,stubby-multi-bit-driver-8in1,Hardware Tools,Stubby Multi-Bit Driver 8-in-1,Short body tool for tight corners.,"High-torque stubby handle with quick-swap bits for cabinets, hinges, and home fixes.",14.99,19.99,90,true,false,/catalog/hardware/MT-SCR-004-1.jpg|/catalog/hardware/MT-SCR-004-2.jpg
MT-PLC-001,long-nose-plier-6inch,Hardware Tools,Long Nose Pliers 6-inch,Slim pliers for wire bending and grip.,Drop-forged steel with spring return and cushioned handles for stable control.,16.99,22.99,70,true,true,/catalog/hardware/MT-PLC-001-1.jpg|/catalog/hardware/MT-PLC-001-2.jpg
MT-PLC-002,diagonal-wire-cutter-7inch,Hardware Tools,Diagonal Wire Cutter 7-inch,Clean cutting edges for copper and zip ties.,Hardened blades with anti-rust coating. Good for workshop and apartment maintenance.,18.99,24.99,65,true,false,/catalog/hardware/MT-PLC-002-1.jpg|/catalog/hardware/MT-PLC-002-2.jpg
MT-PLC-003,slip-joint-plier-8inch,Hardware Tools,Slip Joint Pliers 8-inch,Adjustable jaw pliers for mixed tasks.,Two-position jaw opening with textured grips for home plumbing and quick clamps.,17.99,23.99,72,true,false,/catalog/hardware/MT-PLC-003-1.jpg|/catalog/hardware/MT-PLC-003-2.jpg
MT-PLC-004,locking-plier-mini-5inch,Hardware Tools,Locking Plier Mini 5-inch,Mini locking plier for hands-free hold.,Quick-release lever and hardened jaw teeth. Great for hobby repair and small fixtures.,21.99,27.99,55,true,false,/catalog/hardware/MT-PLC-004-1.jpg|/catalog/hardware/MT-PLC-004-2.jpg
MT-MTR-001,steel-tape-measure-5m,Hardware Tools,Steel Tape Measure 5m,Compact metric tape with lock button.,"Durable steel blade with anti-bend coating, belt clip, and smooth retraction.",12.99,17.99,120,true,true,/catalog/hardware/MT-MTR-001-1.jpg|/catalog/hardware/MT-MTR-001-2.jpg
MT-MTR-002,digital-angle-gauge-mini,Hardware Tools,Digital Angle Gauge Mini,Fast angle checks for DIY projects.,"Magnetic base, backlit display, and one-button zeroing for repeatable alignment.",29.99,36.99,38,true,false,/catalog/hardware/MT-MTR-002-1.jpg|/catalog/hardware/MT-MTR-002-2.jpg
