"sku","slug","category","name_en","short_en","description_en","price","compare_at_price","stock","visible","featured","image_urls"
"MT-SBK-025","micro-precision-driver-kit-51pc","Screwdriver and Bit Kits","Micro Precision Driver Kit 51pc","Compact precision bit kit for electronics and home fixes","Includes common precision bits extension shaft and magnetic handle for repair and assembly tasks","24.99","31.99","84","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SBK-025-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-025-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-025-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-025-4.jpg"
"MT-SBK-026","stubby-ratchet-driver-12in1","Screwdriver and Bit Kits","Stubby Ratchet Driver 12in1","Short handle ratchet driver for tight spaces","Fast switch ratchet core with mixed bits for furniture bike and appliance maintenance jobs","19.99","26.99","96","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SBK-026-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-026-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-026-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-026-4.jpg"
"MT-SBK-027","insulated-driver-set-vde-7pc","Screwdriver and Bit Kits","Insulated Driver Set VDE 7pc","Electrical safe insulated driver set","Rated insulated shafts and anti slip grip for breaker panel outlet and terminal work","29.99","38.99","60","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SBK-027-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-027-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-027-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-027-4.jpg"
"MT-SBK-028","quick-load-bit-holder-3pc","Screwdriver and Bit Kits","Quick Load Bit Holder 3pc","Magnetic quick change holders for impact tools","Three length holders improve access and reduce wobble during screw driving in wood and metal","13.99","18.99","130","true","false","https://www.sexwomen.mom/catalog/hardware/MT-SBK-028-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-028-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-028-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-SBK-028-4.jpg"
"MT-PLC-025","long-nose-pliers-8in-comfort","Pliers and Cutters","Long Nose Pliers 8in Comfort","Reach and grip pliers with comfort handles","Thin jaws hold and bend wire in narrow channels while serrated section keeps parts stable","16.99","22.99","88","true","false","https://www.sexwomen.mom/catalog/hardware/MT-PLC-025-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-025-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-025-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-025-4.jpg"
"MT-PLC-026","diagonal-cutter-6in-high-leverage","Pliers and Cutters","Diagonal Cutter 6in High Leverage","Flush style cutter for wire and zip ties","High leverage joint reduces hand strain and gives cleaner cuts for daily workshop use","14.99","19.99","104","true","false","https://www.sexwomen.mom/catalog/hardware/MT-PLC-026-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-026-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-026-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-026-4.jpg"
"MT-PLC-027","water-pump-pliers-10in-multi-jaw","Pliers and Cutters","Water Pump Pliers 10in Multi Jaw","Adjustable groove joint pliers for pipe nuts and fittings","Wide jaw range and stable lock teeth improve grip on plumbing and mechanical fasteners","21.99","28.99","72","true","false","https://www.sexwomen.mom/catalog/hardware/MT-PLC-027-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-027-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-027-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-027-4.jpg"
"MT-PLC-028","locking-pliers-curved-jaw-7in","Pliers and Cutters","Locking Pliers Curved Jaw 7in","Curved jaw locking pliers with quick release","Secure clamp pressure with adjustment screw for holding welding and stubborn bolt tasks","18.99","24.99","76","true","false","https://www.sexwomen.mom/catalog/hardware/MT-PLC-028-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-028-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-028-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-PLC-028-4.jpg"
"MT-MEA-025","laser-distance-meter-40m","Measuring and Layout","Laser Distance Meter 40m","Fast one button distance and area measurement","Backlit display stores recent reads and supports quick room planning trim and install jobs","27.99","35.99","58","true","false","https://www.sexwomen.mom/catalog/hardware/MT-MEA-025-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-025-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-025-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-025-4.jpg"
"MT-MEA-026","magnetic-torpedo-level-9in","Measuring and Layout","Magnetic Torpedo Level 9in","Compact level for conduit shelf and frame alignment","Strong magnetic base and clear vials speed checks on steel studs and metal surfaces","12.99","17.99","122","true","false","https://www.sexwomen.mom/catalog/hardware/MT-MEA-026-01-cover.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-026-2.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-026-3.jpg|https://www.sexwomen.mom/catalog/hardware/MT-MEA-026-4.jpg"
