sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-SCR-001,precision-6pc-micro-screwdriver-set,Hardware Tools,Precision 6pc Micro Screwdriver Set,Compact driver set for daily repair jobs.,"Magnetic tips with anti-slip grip. Built for eyeglasses, toys, laptops, and small household repairs.",19.99,24.99,80,true,true,https://upload.wikimedia.org/wikipedia/commons/6/6e/Screwdriver_set.jpg|https://picsum.photos/seed/mt-scr-001-mix/1600/1200
MT-SCR-002,ratchet-precision-driver-kit-24in1,Hardware Tools,Ratchet Precision Driver Kit 24-in-1,Pocket ratchet kit for quick screw changes.,Includes extension rod and 24 steel bits. Ideal for desk repairs and electronics maintenance.,24.99,29.99,60,true,true,https://upload.wikimedia.org/wikipedia/commons/7/7a/Electronics_workbench.jpg|https://picsum.photos/seed/mt-scr-002-mix/1600/1200
MT-SCR-003,electric-precision-screwdriver-30bit,Hardware Tools,Electric Precision Screwdriver 30-Bit,Rechargeable precision driver with steady torque.,"USB-C charging, dual torque levels, and magnetic storage case for daily workflow use.",39.99,49.99,40,true,false,https://upload.wikimedia.org/wikipedia/commons/6/6e/Screwdriver_set.jpg|https://picsum.photos/seed/mt-scr-003-mix/1600/1200
MT-SCR-004,stubby-multi-bit-driver-8in1,Hardware Tools,Stubby Multi-Bit Driver 8-in-1,Short body tool for tight corners.,"High-torque stubby handle with quick-swap bits for cabinets, hinges, and home fixes.",14.99,19.99,90,true,false,https://upload.wikimedia.org/wikipedia/commons/7/7a/Electronics_workbench.jpg|https://picsum.photos/seed/mt-scr-004-mix/1600/1200
MT-PLC-001,long-nose-plier-6inch,Hardware Tools,Long Nose Pliers 6-inch,Slim pliers for wire bending and grip.,Drop-forged steel with spring return and cushioned handles for stable control.,16.99,22.99,70,true,true,https://upload.wikimedia.org/wikipedia/commons/1/17/Pinza15.JPG|https://picsum.photos/seed/mt-plc-001-mix/1600/1200
MT-PLC-002,diagonal-wire-cutter-7inch,Hardware Tools,Diagonal Wire Cutter 7-inch,Clean cutting edges for copper and zip ties.,Hardened blades with anti-rust coating. Good for workshop and apartment maintenance.,18.99,24.99,65,true,false,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ostrogubetz.jpg|https://picsum.photos/seed/mt-plc-002-mix/1600/1200
MT-PLC-003,slip-joint-plier-8inch,Hardware Tools,Slip Joint Pliers 8-inch,Adjustable jaw pliers for mixed tasks.,Two-position jaw opening with textured grips for home plumbing and quick clamps.,17.99,23.99,72,true,false,https://upload.wikimedia.org/wikipedia/commons/a/a7/SOG_tool.jpg|https://picsum.photos/seed/mt-plc-003-mix/1600/1200
MT-PLC-004,locking-plier-mini-5inch,Hardware Tools,Locking Plier Mini 5-inch,Mini locking plier for hands-free hold.,Quick-release lever and hardened jaw teeth. Great for hobby repair and small fixtures.,21.99,27.99,55,true,false,https://upload.wikimedia.org/wikipedia/commons/1/1c/Tools73.jpg|https://picsum.photos/seed/mt-plc-004-mix/1600/1200
MT-MTR-001,steel-tape-measure-5m,Hardware Tools,Steel Tape Measure 5m,Compact metric tape with lock button.,"Durable steel blade with anti-bend coating, belt clip, and smooth retraction.",12.99,17.99,120,true,true,https://upload.wikimedia.org/wikipedia/commons/e/ea/Tape_measure.JPG|https://picsum.photos/seed/mt-mtr-001-mix/1600/1200
MT-MTR-002,digital-angle-gauge-mini,Hardware Tools,Digital Angle Gauge Mini,Fast angle checks for DIY projects.,"Magnetic base, backlit display, and one-button zeroing for repeatable alignment.",29.99,36.99,38,true,false,https://upload.wikimedia.org/wikipedia/commons/9/94/Messschieber.jpg|https://picsum.photos/seed/mt-mtr-002-mix/1600/1200
