"sku","name_en","missing_slots"
"MT-MEA-028","Stainless Feeler Gauge 32 Blade","1/01-cover|2/02|3/03|4/04"
"MT-FST-025","Multi Size Wall Anchor Kit 220pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-026","Stainless Screw Assortment 500pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-027","Nylon Cable Zip Tie Pack 1000pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-028","Heavy Duty Hose Clamp Set 60pc","1/01-cover|2/02|3/03|4/04"
"MT-UTL-028","Deburring Tool Set 11pc","1/01-cover|2/02|3/03|4/04"
"MT-DRL-027","Step Drill Bit HSS 3pc","1/01-cover|2/02|3/03|4/04"
"MT-MEA-029","Digital Caliper 150mm Stainless","1/01-cover|2/02|3/03|4/04"
"MT-DRL-030","Tap and Drill Set M3-M10 16pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-029","Rivet Nut Assortment Kit M3-M8 300pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-030","Thread Repair Insert Kit M6 90pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-031","Split Lock Washer Assortment 900pc","1/01-cover|2/02|3/03|4/04"
"MT-FST-032","Heat Shrink Tubing Kit 530pc Adhesive","1/01-cover|2/02|3/03|4/04"
