"sku","name_en","cover_image_filename","gallery_image_2","gallery_image_3","gallery_image_4"
"MT-SBK-025","Micro Precision Driver Kit 51pc","MT-SBK-025-01-cover.jpg","MT-SBK-025-02.jpg","MT-SBK-025-03.jpg","MT-SBK-025-04.jpg"
"MT-SBK-026","Stubby Ratchet Driver 12in1","MT-SBK-026-01-cover.jpg","MT-SBK-026-02.jpg","MT-SBK-026-03.jpg","MT-SBK-026-04.jpg"
"MT-SBK-027","Insulated Driver Set VDE 7pc","MT-SBK-027-01-cover.jpg","MT-SBK-027-02.jpg","MT-SBK-027-03.jpg","MT-SBK-027-04.jpg"
"MT-SBK-028","Quick Load Bit Holder 3pc","MT-SBK-028-01-cover.jpg","MT-SBK-028-02.jpg","MT-SBK-028-03.jpg","MT-SBK-028-04.jpg"
"MT-PLC-025","Long Nose Pliers 8in Comfort","MT-PLC-025-01-cover.jpg","MT-PLC-025-02.jpg","MT-PLC-025-03.jpg","MT-PLC-025-04.jpg"
"MT-PLC-026","Diagonal Cutter 6in High Leverage","MT-PLC-026-01-cover.jpg","MT-PLC-026-02.jpg","MT-PLC-026-03.jpg","MT-PLC-026-04.jpg"
"MT-PLC-027","Water Pump Pliers 10in Multi Jaw","MT-PLC-027-01-cover.jpg","MT-PLC-027-02.jpg","MT-PLC-027-03.jpg","MT-PLC-027-04.jpg"
"MT-PLC-028","Locking Pliers Curved Jaw 7in","MT-PLC-028-01-cover.jpg","MT-PLC-028-02.jpg","MT-PLC-028-03.jpg","MT-PLC-028-04.jpg"
"MT-MEA-025","Laser Distance Meter 40m","MT-MEA-025-01-cover.jpg","MT-MEA-025-02.jpg","MT-MEA-025-03.jpg","MT-MEA-025-04.jpg"
"MT-MEA-026","Magnetic Torpedo Level 9in","MT-MEA-026-01-cover.jpg","MT-MEA-026-02.jpg","MT-MEA-026-03.jpg","MT-MEA-026-04.jpg"
"MT-MEA-027","Folding Hex Key Set Metric Imperial","MT-MEA-027-01-cover.jpg","MT-MEA-027-02.jpg","MT-MEA-027-03.jpg","MT-MEA-027-04.jpg"
"MT-MEA-028","Stainless Feeler Gauge 32 Blade","MT-MEA-028-01-cover.jpg","MT-MEA-028-02.jpg","MT-MEA-028-03.jpg","MT-MEA-028-04.jpg"
"MT-FST-025","Multi Size Wall Anchor Kit 220pc","MT-FST-025-01-cover.jpg","MT-FST-025-02.jpg","MT-FST-025-03.jpg","MT-FST-025-04.jpg"
"MT-FST-026","Stainless Screw Assortment 500pc","MT-FST-026-01-cover.jpg","MT-FST-026-02.jpg","MT-FST-026-03.jpg","MT-FST-026-04.jpg"
"MT-FST-027","Nylon Cable Zip Tie Pack 1000pc","MT-FST-027-01-cover.jpg","MT-FST-027-02.jpg","MT-FST-027-03.jpg","MT-FST-027-04.jpg"
"MT-FST-028","Heavy Duty Hose Clamp Set 60pc","MT-FST-028-01-cover.jpg","MT-FST-028-02.jpg","MT-FST-028-03.jpg","MT-FST-028-04.jpg"
"MT-UTL-025","Retractable Utility Knife Pro 2pack","MT-UTL-025-01-cover.jpg","MT-UTL-025-02.jpg","MT-UTL-025-03.jpg","MT-UTL-025-04.jpg"
"MT-UTL-026","Safety Box Cutter 6pack Auto Retract","MT-UTL-026-01-cover.jpg","MT-UTL-026-02.jpg","MT-UTL-026-03.jpg","MT-UTL-026-04.jpg"
"MT-UTL-027","Scraper Tool with Razor Blades 20pc","MT-UTL-027-01-cover.jpg","MT-UTL-027-02.jpg","MT-UTL-027-03.jpg","MT-UTL-027-04.jpg"
"MT-UTL-028","Deburring Tool Set 11pc","MT-UTL-028-01-cover.jpg","MT-UTL-028-02.jpg","MT-UTL-028-03.jpg","MT-UTL-028-04.jpg"
"MT-DRL-025","Cobalt Drill Bit Set 19pc","MT-DRL-025-01-cover.jpg","MT-DRL-025-02.jpg","MT-DRL-025-03.jpg","MT-DRL-025-04.jpg"
"MT-DRL-026","Masonry Drill Bit Set 10pc","MT-DRL-026-01-cover.jpg","MT-DRL-026-02.jpg","MT-DRL-026-03.jpg","MT-DRL-026-04.jpg"
"MT-DRL-027","Step Drill Bit HSS 3pc","MT-DRL-027-01-cover.jpg","MT-DRL-027-02.jpg","MT-DRL-027-03.jpg","MT-DRL-027-04.jpg"
"MT-DRL-028","Countersink Bit Set 7pc","MT-DRL-028-01-cover.jpg","MT-DRL-028-02.jpg","MT-DRL-028-03.jpg","MT-DRL-028-04.jpg"
"MT-SKT-029","Ratchet Socket Set 46pc 1/4in","MT-SKT-029-01-cover.jpg","MT-SKT-029-02.jpg","MT-SKT-029-03.jpg","MT-SKT-029-04.jpg"
"MT-SKT-030","Deep Socket Set 10pc Metric","MT-SKT-030-01-cover.jpg","MT-SKT-030-02.jpg","MT-SKT-030-03.jpg","MT-SKT-030-04.jpg"
"MT-SKT-031","Impact Socket Set 13pc 1/2in","MT-SKT-031-01-cover.jpg","MT-SKT-031-02.jpg","MT-SKT-031-03.jpg","MT-SKT-031-04.jpg"
"MT-SKT-032","Universal Joint Socket Adapter Kit 4pc","MT-SKT-032-01-cover.jpg","MT-SKT-032-02.jpg","MT-SKT-032-03.jpg","MT-SKT-032-04.jpg"
"MT-WRN-029","Combination Wrench Set 12pc Metric","MT-WRN-029-01-cover.jpg","MT-WRN-029-02.jpg","MT-WRN-029-03.jpg","MT-WRN-029-04.jpg"
"MT-WRN-030","Adjustable Wrench 10in Wide Jaw","MT-WRN-030-01-cover.jpg","MT-WRN-030-02.jpg","MT-WRN-030-03.jpg","MT-WRN-030-04.jpg"
"MT-WRN-031","Flare Nut Wrench Set 5pc","MT-WRN-031-01-cover.jpg","MT-WRN-031-02.jpg","MT-WRN-031-03.jpg","MT-WRN-031-04.jpg"
"MT-WRN-032","Crowfoot Wrench Set 11pc","MT-WRN-032-01-cover.jpg","MT-WRN-032-02.jpg","MT-WRN-032-03.jpg","MT-WRN-032-04.jpg"
"MT-CLP-029","Quick Release Bar Clamp 12in 2pack","MT-CLP-029-01-cover.jpg","MT-CLP-029-02.jpg","MT-CLP-029-03.jpg","MT-CLP-029-04.jpg"
"MT-CLP-030","Spring Clamp Set 20pc Heavy Duty","MT-CLP-030-01-cover.jpg","MT-CLP-030-02.jpg","MT-CLP-030-03.jpg","MT-CLP-030-04.jpg"
"MT-CLP-031","Bench Vise 4in Swivel Base","MT-CLP-031-01-cover.jpg","MT-CLP-031-02.jpg","MT-CLP-031-03.jpg","MT-CLP-031-04.jpg"
"MT-CLP-032","Corner Clamp Set 4pc 90 Degree","MT-CLP-032-01-cover.jpg","MT-CLP-032-02.jpg","MT-CLP-032-03.jpg","MT-CLP-032-04.jpg"
"MT-MEA-029","Digital Caliper 150mm Stainless","MT-MEA-029-01-cover.jpg","MT-MEA-029-02.jpg","MT-MEA-029-03.jpg","MT-MEA-029-04.jpg"
"MT-MEA-030","Angle Finder Digital Bevel Gauge","MT-MEA-030-01-cover.jpg","MT-MEA-030-02.jpg","MT-MEA-030-03.jpg","MT-MEA-030-04.jpg"
"MT-MEA-031","Marking Gauge Combo Set 3pc","MT-MEA-031-01-cover.jpg","MT-MEA-031-02.jpg","MT-MEA-031-03.jpg","MT-MEA-031-04.jpg"
"MT-MEA-032","Center Punch Set Automatic 2pc","MT-MEA-032-01-cover.jpg","MT-MEA-032-02.jpg","MT-MEA-032-03.jpg","MT-MEA-032-04.jpg"
"MT-DRL-029","Screw Extractor and Left Bit Set 15pc","MT-DRL-029-01-cover.jpg","MT-DRL-029-02.jpg","MT-DRL-029-03.jpg","MT-DRL-029-04.jpg"
"MT-DRL-030","Tap and Drill Set M3-M10 16pc","MT-DRL-030-01-cover.jpg","MT-DRL-030-02.jpg","MT-DRL-030-03.jpg","MT-DRL-030-04.jpg"
"MT-DRL-031","Hole Saw Kit Bi Metal 17pc","MT-DRL-031-01-cover.jpg","MT-DRL-031-02.jpg","MT-DRL-031-03.jpg","MT-DRL-031-04.jpg"
"MT-DRL-032","Hex Shank Countersink and Deburr 6pc","MT-DRL-032-01-cover.jpg","MT-DRL-032-02.jpg","MT-DRL-032-03.jpg","MT-DRL-032-04.jpg"
"MT-FST-029","Rivet Nut Assortment Kit M3-M8 300pc","MT-FST-029-01-cover.jpg","MT-FST-029-02.jpg","MT-FST-029-03.jpg","MT-FST-029-04.jpg"
"MT-FST-030","Thread Repair Insert Kit M6 90pc","MT-FST-030-01-cover.jpg","MT-FST-030-02.jpg","MT-FST-030-03.jpg","MT-FST-030-04.jpg"
"MT-FST-031","Split Lock Washer Assortment 900pc","MT-FST-031-01-cover.jpg","MT-FST-031-02.jpg","MT-FST-031-03.jpg","MT-FST-031-04.jpg"
"MT-FST-032","Heat Shrink Tubing Kit 530pc Adhesive","MT-FST-032-01-cover.jpg","MT-FST-032-02.jpg","MT-FST-032-03.jpg","MT-FST-032-04.jpg"
