sku,slug,category,name_en,short_en,description_en,price,compare_at_price,stock,visible,featured,image_urls
MT-SCR-001,precision-6pc-micro-screwdriver-set,Hardware Tools,Precision 6pc Micro Screwdriver Set,"Compact driver set for daily repair jobs.","Magnetic tips with anti-slip grip. Built for eyeglasses, toys, laptops, and small household repairs.",19.99,24.99,80,true,true,https://images.unsplash.com/photo-1581147036294-9a5f5947b2b6?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1580906855280-8d16f0d5f0f7?auto=format&fit=crop&w=1200&q=80
MT-SCR-002,ratchet-precision-driver-kit-24in1,Hardware Tools,Ratchet Precision Driver Kit 24-in-1,"Pocket ratchet kit for quick screw changes.","Includes extension rod and 24 steel bits. Ideal for desk repairs and electronics maintenance.",24.99,29.99,60,true,true,https://images.unsplash.com/photo-1504148455328-c376907d081c?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1600661653561-629509216228?auto=format&fit=crop&w=1200&q=80
MT-SCR-003,electric-precision-screwdriver-30bit,Hardware Tools,Electric Precision Screwdriver 30-Bit,"Rechargeable precision driver with steady torque.","USB-C charging, dual torque levels, and magnetic storage case for daily workflow use.",39.99,49.99,40,true,false,https://images.unsplash.com/photo-1580906853203-9f6f1e4d6f4f?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=1200&q=80
MT-SCR-004,stubby-multi-bit-driver-8in1,Hardware Tools,Stubby Multi-Bit Driver 8-in-1,"Short body tool for tight corners.","High-torque stubby handle with quick-swap bits for cabinets, hinges, and home fixes.",14.99,19.99,90,true,false,https://images.unsplash.com/photo-1610969135550-9d7fd7a95f90?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1581147036326-7d26679f6fbe?auto=format&fit=crop&w=1200&q=80
MT-PLC-001,long-nose-plier-6inch,Hardware Tools,Long Nose Pliers 6-inch,"Slim pliers for wire bending and grip.","Drop-forged steel with spring return and cushioned handles for stable control.",16.99,22.99,70,true,true,https://images.unsplash.com/photo-1581147036327-0dd1f5c6fcd2?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1581147036336-2206c38be307?auto=format&fit=crop&w=1200&q=80
MT-PLC-002,diagonal-wire-cutter-7inch,Hardware Tools,Diagonal Wire Cutter 7-inch,"Clean cutting edges for copper and zip ties.","Hardened blades with anti-rust coating. Good for workshop and apartment maintenance.",18.99,24.99,65,true,false,https://images.unsplash.com/photo-1581147036311-4db516fa5ee5?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1581147036338-7d6d0666f2ef?auto=format&fit=crop&w=1200&q=80
MT-PLC-003,slip-joint-plier-8inch,Hardware Tools,Slip Joint Pliers 8-inch,"Adjustable jaw pliers for mixed tasks.","Two-position jaw opening with textured grips for home plumbing and quick clamps.",17.99,23.99,72,true,false,https://images.unsplash.com/photo-1581147036292-c639c65a9d86?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1581147036308-41f652262e50?auto=format&fit=crop&w=1200&q=80
MT-PLC-004,locking-plier-mini-5inch,Hardware Tools,Locking Plier Mini 5-inch,"Mini locking plier for hands-free hold.","Quick-release lever and hardened jaw teeth. Great for hobby repair and small fixtures.",21.99,27.99,55,true,false,https://images.unsplash.com/photo-1616628182509-3d7986f8cbf4?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1581147036298-31d9114ef95c?auto=format&fit=crop&w=1200&q=80
MT-MTR-001,steel-tape-measure-5m,Hardware Tools,Steel Tape Measure 5m,"Compact metric tape with lock button.","Durable steel blade with anti-bend coating, belt clip, and smooth retraction.",12.99,17.99,120,true,true,https://images.unsplash.com/photo-1530549387789-4c1017266635?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1621905252507-b35492cc74b4?auto=format&fit=crop&w=1200&q=80
MT-MTR-002,digital-angle-gauge-mini,Hardware Tools,Digital Angle Gauge Mini,"Fast angle checks for DIY projects.","Magnetic base, backlit display, and one-button zeroing for repeatable alignment.",29.99,36.99,38,true,false,https://images.unsplash.com/photo-1582582494700-7ff6f8f3255b?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1621905251189-08b45d6a269e?auto=format&fit=crop&w=1200&q=80
MT-MTR-003,laser-distance-meter-40m,Hardware Tools,Laser Distance Meter 40m,"Pocket laser tool for quick room measurement.","Measures distance, area, and volume with one-hand operation and memory slots.",34.99,44.99,32,true,false,https://images.unsplash.com/photo-1581093450021-4a7360e9a7fa?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1551836022-d5d88e9218df?auto=format&fit=crop&w=1200&q=80
MT-MTR-004,aluminum-combo-square-12inch,Hardware Tools,Aluminum Combo Square 12-inch,"Right-angle and depth marking in one.","Etched ruler scale, lightweight body, and stable lock for accurate cuts.",22.99,29.99,44,true,false,https://images.unsplash.com/photo-1607400201889-565b1ee75f8f?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627450437-d24e4f7f0e2c?auto=format&fit=crop&w=1200&q=80
MT-DRB-001,titanium-drill-bit-set-13pc,Hardware Tools,Titanium Drill Bit Set 13pc,"General-use bit set for wood, plastic, and light metal.","Titanium-coated high-speed steel bits in compact indexed storage case.",27.99,34.99,58,true,true,https://images.unsplash.com/photo-1615529162924-f860538846db?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1581147036317-d5c5edc7a9c9?auto=format&fit=crop&w=1200&q=80
MT-DRB-002,impact-driver-bit-pack-32pc,Hardware Tools,Impact Driver Bit Pack 32pc,"Impact-ready bits for fast driving jobs.","Color-coded assortment with magnetic holder for drills and electric screwdrivers.",23.99,31.99,66,true,false,https://images.unsplash.com/photo-1621600411688-4be93f8e77ea?auto=format&fit=crop&w=1200&q=80|https://images.unsplash.com/photo-1616627561837-074f86a79384?auto=format&fit=crop&w=1200&q=80
